date,ar,en
1/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
2/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
3/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
10/1, ذكرى غزوة تبوك وقعت سنة (٩ هـ), The anniversary of the Battle of Tabuk took place (9 AH)
11/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
12/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
13/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
14/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
15/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
16/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
17/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
18/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
19/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
20/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
21/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
22/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
23/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
24/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
27/1, ذكرى الإسراء والمعراج, Isra and Mi'raj
29/1,ولادة القمر ٢:٣٧ عصراً,Moon Birth 2:37 PM
13/2,ليلة النّصف من شعبان,The night of the middle of Sha'ban
28/2,التماس هلال رمضان ولادة القمر ٢:٤٦ ظهراً,The search for the crescent of Ramadan Moon Birth 2:46 AM
17/3, ذكرى غزوة بدر الكبرى وقعت (٢ هـ),The anniversary of the Battle of Badr took place (2 AH)
20/3,ذكرى فتح مكة (٨ هـ), Anniversary of the Conquest of Mecca (8 AH)
21/3,ميثاق الجامعة العربيّة ويوم الطّفل ويوم الأم, "Arab League Charter, Children's Day and Mother's Day"
22/3,بدء فصل الرّبيع,The beginning of the spring season
26/3, ليلة القدر, Laylat-ul-Qadr
29/3,التماس هلال شوّال ولادة القمر ١٢:٥٩ ظهراً, Shawwal Crescent Sighting Moon Birth 12:59 PM
30/3, أوّل أيّام عيد الفطر المبارك صلاة العيد ٧:١٤ صباحاً, The first day of Eid al-Fitr. Eid prayer 7:14 AM
2/4,ذكرى غزوة أُحُد (٣ هـ),The anniversary of the Battle of Uhud (3 AH)
7/4,يوم الصحة العالمي, World Health Day
27/4,ولادة القمر ١٠:٣٢ ليلاً, Moon Birth 10:32 PM
1/5,يوم العمّال, Labor Day
27/5,ولادة القمر ٦:٠٣ صباحاً, Moon Birth 6:03 AM
5/6,الوقوف في عرفة, Standing at Arafat
6/6,أوّل أيّام عيد الأضحى المبارك صلاة العيد ٦:١١ صباحاً, The first day of Eid al-Adha. Eid prayer 6:11 AM
22/6,بدء فصل الصّيف, The beginning of the summer season
25/6,ولادة القمر ١:٣٣ ظهراً, Moon Birth 1:33 PM
26/6,بداية العام الهجري ١٤٤٧, The beginning of the Hijri year 1447
28/6,يوم الكشّافة, Scout Day
5/7,ذكرى عاشوراء, Ashura commemoration
24/7,ولادة القمر ١٠:١٢ ليلاً, Moon Birth 10:12 PM
21/8,ذكرى حريق المسجد الأقصى ١٩٦٩م, The anniversary of the burning of Al-Aqsa Mosque in 1969
23/8,ولادة القمر ٩:٠٨ صباحاً, Moon Birth 9:08 AM
4/9,ذكرى مولد الرسول (صلّى الله عليه وسلّم), The anniversary of the birth of the Prophet (peace be upon him)
21/9,ولادة القمر ١٠:٥٥ ليلاً, Moon Birth 10:55 PM
22/9,بدء فصل الخريف, The beginning of the autumn season
15/10,ذكرى معركة حطّين (٥٨٣هـ), The anniversary of the Battle of Hattin (583 AH)
21/10,ولادة القمر ٣:٢٦ عصراً, Moon Birth 3:26 PM
6/11,ذكرى غزوة مؤتة (٨ هـ) وقعت في حدود بلاد الشام,The anniversary of the Battle of Mu'tah (8 AH) took place on the borders of the Levant
20/11,ولادة القمر ٨:٤٨ صباحاً, Moon Birth 8:48 AM
22/11,ذكرى الاستقلال, Independence Day
20/12,ولادة القمر ٣:٤٥ قبل الفجر, Moon Birth 3:45 AM
22/12,بدء فصل الشتاء, The beginning of the winter season
